brand,product,url,imgSrc,name,categories,specific,hex,lightness,in_india,R,G,B
Clinique,Stay Matte Oil-Free Makeup,https://www.ulta.com/stay-matte-oil-free-makeup?productId=xlsImpprod10791929,https://images.ulta.com/is/image/Ulta/2247043sw?$50px$,neutral,descriptor,CN 52,#DDAB86,0.696078431372549,True,221,171,134
Clinique,Beyond Perfecting Foundation + Concealer,https://www.ulta.com/beyond-perfecting-foundation-concealer?productId=xlsImpprod12021005,https://images.ulta.com/is/image/Ulta/2544068sw?$50px$,meringue,food,WN 12,#E5B88D,0.725490196078431,True,229,184,141
Huda Beauty,#FauxFilter Full Coverage Matte Foundation,https://www.sephora.com/product/fauxfilter-foundation-P424302?skuId=2001774&icid2=products%20grid:p424302,/productimages/sku/s2001949+sw.jpg,cocoa,food,510R,#8F653A,0.394117647058824,True,143,101,58
Clinique,Beyond Perfecting Foundation + Concealer,https://www.ulta.com/beyond-perfecting-foundation-concealer?productId=xlsImpprod12021005,https://images.ulta.com/is/image/Ulta/2512319sw?$50px$,toasted wheat,food,WN 76,#C38B5F,0.568627450980392,True,195,139,95
Wet N Wild,PhotoFocus Liquid Foundation,https://www.ulta.com/photofocus-liquid-foundation?productId=xlsImpprod16731069,https://images.ulta.com/is/image/Ulta/2518182sw?$50px$,mahogany,wood,,#8E5231,0.374509803921569,True,142,82,49
Wet N Wild,Photo Focus Dewy Foundation,https://www.ulta.com/photo-focus-dewy-foundation?productId=pimprod2013416,https://images.ulta.com/is/image/Ulta/2558106sw?$50px$,soft beige,"descriptor, color",,#ECC097,0.758823529411765,True,236,192,151
Huda Beauty,#FauxFilter Full Coverage Matte Foundation,https://www.sephora.com/product/fauxfilter-foundation-P424302?skuId=2001774&icid2=products%20grid:p424302,/productimages/sku/s2001873+sw.jpg,macchiato,drink,400G,#AF8048,0.484313725490196,True,175,128,72
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,https://images.ulta.com/is/image/Ulta/2237639sw?$50px$,nutty,food,CN 78,#CE9467,0.605882352941176,True,206,148,103
Wet N Wild,Photo Focus Dewy Foundation,https://www.ulta.com/photo-focus-dewy-foundation?productId=pimprod2013416,https://images.ulta.com/is/image/Ulta/2558452sw?$50px$,desert beige,"rock, color",,#C59559,0.56078431372549,True,197,149,89
Revlon,ColorStay Full Cover Foundation,https://www.ulta.com/colorstay-full-cover-foundation?productId=xlsImpprod18391067,https://images.ulta.com/is/image/Ulta/2527749sw?$50px$,buff,color,150,#F4D6B4,0.831372549019608,True,244,214,180
Estée Lauder,Futurist Hydra Rescue Moisturizing Makeup SPF 45,https://www.ulta.com/futurist-hydra-rescue-moisturizing-makeup-spf-45?productId=pimprod2013152,https://images.ulta.com/is/image/Ulta/2559134sw?$50px$,rich espresso,"descriptor, drink",8N2,#653B2B,0.282352941176471,True,101,59,43
